WKT,field_1,segmentId,newSegmentId,speedLimit,frc,streetName,distance,timeSet,dateRange,harmonicAverageSpeed,medianSpeed,averageSpeed,standardDeviationSpeed,travelTimeStandardDeviation,sampleSize,averageTravelTime,medianTravelTime,travelTimeRatio
"LINESTRING (7.44635 9.06859,7.44626 9.06857)",343,-1.566E+13,-00004e47-4100-0400-0000-000000072c34,60,6,Ngozi Okonjo-Iweala Way,9.82,2,1,11.84,21,28.09,21.54,4.08,124,2.99,1.68,1
"LINESTRING (7.44613 9.07005,7.44605 9.07004)",1323,-1.566E+13,-4E+47,60,6,M.T.O. Akubo Street,8.67,2,1,7.93,16.7,18.22,11.29,7.86,752,3.93,1.87,1
"LINESTRING (7.44642 9.07003,7.44629 9.07005,7.44613 9.07005)",1364,-1.566E+13,-00004e47-4100-0400-0000-0000000748aa,60,6,M.T.O. Akubo Street,31.91,2,1,13.43,20.2,21.27,12.4,9.62,291,8.56,5.69,1
"LINESTRING (7.44627 9.06907,7.44618 9.06905)",3612,-1.566E+13,-00004e47-4100-0400-0000-00000007896c,60,6,Ngozi Okonjo-Iweala Way,9.9,2,1,11.76,16.7,21.99,18.14,2.67,52,3.03,2.13,1
"LINESTRING (7.44654 9.07002,7.44645 9.07003,7.44642 9.07003)",4845,-1.566E+13,-00004e47-4100-0400-0000-00000007ad43,60,6,M.T.O. Akubo Street,13.44,2,1,12.24,24.5,24.06,12.84,6.56,380,3.95,1.97,1
"LINESTRING (7.44809 9.06989,7.44786 9.06991,7.447 9.06998,7.44654 9.07002)",5656,-1.566E+13,-00004e47-4100-0400-0000-00000007c394,60,6,M.T.O. Akubo Street,170.9,2,1,28.95,34.3,33.72,10.74,13.09,285,21.25,17.94,1
"LINESTRING (7.44735 9.06966,7.44735 9.06954,7.44734 9.0695,7.44732 9.06948,7.44727 9.06946,7.44704 9.06937,7.4469 9.06931)",9788,-1.566E+13,-94d5334e-6674-4950-a493-3adddf88eb87,18,7,,70.54,2,1,0,0,0,,,0,0,0,0
"LINESTRING (7.4469 9.06931,7.44681 9.06926,7.4467 9.06922,7.44643 9.06912,7.44636 9.0691,7.44627 9.06907)",19801,-1.566E+13,-dd54cbf0-a7d6-4b72-ae8e-6644da681022,18,7,,74.4,2,1,18.71,11,36.8,36.49,14.19,2,14.31,24.35,1
"LINESTRING (7.44593 9.06785,7.4464 9.0678)",24635,1.566E+13,00004e47-4100-0400-0000-0000000723b4,60,5,Obafemi Awolowo Way,51.3,2,1,10.65,28.8,28.71,18.21,25.67,7745,17.35,6.41,1
"LINESTRING (7.44622 9.07174,7.44611 9.07165,7.44604 9.07158,7.44596 9.07154,7.44584 9.07148)",24719,1.566E+13,00004e47-4100-0400-0000-000000072574,60,6,Augustus Aikhomu Way,50.35,2,1,32.39,34.6,35.53,9.07,4.01,4560,5.6,5.24,1
"LINESTRING (7.44658 9.06731,7.4466 9.06745,7.44664 9.06755,7.44673 9.06763,7.44679 9.06768)",24888,1.566E+13,00004e47-4100-0400-0000-000000072982,60,6,Obafemi Awolowo Way,48.99,2,1,21.99,25.2,26.01,9.42,5.02,19018,8.02,7,1
"LINESTRING (7.44626 9.06857,7.4463 9.06837)",24986,1.566E+13,00004e47-4100-0400-0000-000000072b94,60,6,Ngozi Okonjo-Iweala Way,22.36,2,1,9.57,23.8,23.64,13.75,14.45,9472,8.41,3.38,1
"LINESTRING (7.44626 9.06857,7.44635 9.06859)",25011,1.566E+13,00004e47-4100-0400-0000-000000072c34,60,6,Ngozi Okonjo-Iweala Way,9.82,2,1,4.17,15,22.16,22.23,25.66,25,8.47,2.36,1
"LINESTRING (7.44635 9.06859,7.44627 9.06907)",25034,1.566E+13,00004e47-4100-0400-0000-000000072c98,60,6,Ngozi Okonjo-Iweala Way,53.86,2,1,31,35.6,35.37,10.18,4.57,17913,6.26,5.45,1
"LINESTRING (7.44578 9.0714,7.4459 9.07134,7.44598 9.07128,7.44603 9.07122,7.44607 9.07113,7.4461 9.07107)",25296,1.566E+13,00004e47-4100-0400-0000-0000000731f8,60,6,Ngozi Okonjo-Iweala Way,53.17,2,1,23.01,25.9,26.16,7.86,6.42,4399,8.32,7.39,1
"LINESTRING (7.4463 9.06837,7.44625 9.06824,7.44613 9.06809,7.44595 9.06799)",25321,1.566E+13,00004e47-4100-0400-0000-00000007326f,60,6,Obafemi Awolowo Way,59.64,2,1,20.65,25.4,25.58,9.99,12.75,1049,10.4,8.45,1
"LINESTRING (7.44646 9.06793,7.44639 9.06834)",25507,1.566E+13,00004e47-4100-0400-0000-000000073621,60,6,Ngozi Okonjo-Iweala Way,45.28,2,1,23.09,28.4,28.14,9.6,5.32,7263,7.06,5.74,1
"LINESTRING (7.4465 9.06771,7.44648 9.06779)",25940,1.566E+13,00004e47-4100-0400-0000-000000073f1c,60,6,Ngozi Okonjo-Iweala Way,9.78,2,1,9.33,21.5,22.27,12.29,9.49,8135,3.77,1.64,1
"LINESTRING (7.44622 9.07174,7.44616 9.07148,7.44616 9.07146)",26163,1.566E+13,00004e47-4100-0400-0000-000000074392,60,6,Ngozi Okonjo-Iweala Way,31.61,2,1,28.48,36.7,36.79,13.8,3.52,4140,4,3.1,1
"LINESTRING (7.44639 9.06834,7.44636 9.06853,7.44635 9.06859)",26265,1.566E+13,00004e47-4100-0400-0000-00000007459f,60,6,Ngozi Okonjo-Iweala Way,28.76,2,1,27.45,33,32.41,10.38,2.48,18109,3.77,3.14,1
"LINESTRING (7.44605 9.07004,7.44613 9.07005)",26359,1.566E+13,00004e47-4100-0400-0000-000000074746,60,6,M.T.O. Akubo Street,8.67,2,1,7.81,20.4,21.88,17.26,8.22,193,4,1.53,1
"LINESTRING (7.44679 9.06768,7.44683 9.0677,7.44694 9.06776)",26374,1.566E+13,00004e47-4100-0400-0000-00000007479f,60,6,Obafemi Awolowo Way,18.88,2,1,23.82,28.2,28.3,9.63,2.08,19271,2.85,2.41,1
"LINESTRING (7.44626 9.07145,7.44616 9.07146)",26406,1.566E+13,00004e47-4100-0400-0000-000000074848,60,6,Augustus Aikhomu Way,10.95,2,1,26.49,30.3,30.43,8.97,1.67,9267,1.49,1.3,1
"LINESTRING (7.44613 9.07005,7.44629 9.07005,7.44642 9.07003)",26424,1.566E+13,00004e47-4100-0400-0000-0000000748aa,60,6,M.T.O. Akubo Street,31.91,2,1,17.59,25.6,25.61,11.95,9.37,153,6.53,4.49,1
"LINESTRING (7.44616 9.07146,7.44614 9.07137)",26757,1.566E+13,00004e47-4100-0400-0000-000000074f25,60,6,Ngozi Okonjo-Iweala Way,10.25,2,1,29.72,37.9,37.68,13.14,1.27,4182,1.24,0.97,1
"LINESTRING (7.4464 9.0678,7.44641 9.06772)",26878,1.566E+13,00004e47-4100-0400-0000-0000000751da,60,6,Ngozi Okonjo-Iweala Way,9.49,2,1,21.4,28.3,28.17,10.52,1.85,11226,1.6,1.21,1
"LINESTRING (7.44648 9.06779,7.44646 9.06793)",26996,1.566E+13,00004e47-4100-0400-0000-0000000754aa,60,6,Ngozi Okonjo-Iweala Way,15.53,2,1,17.03,24.4,25.02,11.36,4.28,8656,3.28,2.29,1
"LINESTRING (7.4463 9.06837,7.44637 9.06794)",27169,1.566E+13,00004e47-4100-0400-0000-000000075843,60,6,Ngozi Okonjo-Iweala Way,48.25,2,1,5.37,13.7,15.89,13.73,35.1,8440,32.36,12.68,1
"LINESTRING (7.44614 9.07137,7.44624 9.07135)",27177,1.566E+13,00004e47-4100-0400-0000-000000075869,60,6,Augustus Aikhomu Way,10.3,2,1,27.2,31.7,31.39,9.57,0.83,4010,1.36,1.17,1
"LINESTRING (7.44614 9.07137,7.4461 9.07107)",27399,1.566E+13,00004e47-4100-0400-0000-000000075ce1,60,6,Ngozi Okonjo-Iweala Way,33.23,2,1,30.11,37.1,37.14,12.55,3.96,4306,3.97,3.22,1
"LINESTRING (7.44405 9.07153,7.44452 9.0715,7.44486 9.07147,7.44545 9.07142,7.44578 9.0714)",27796,1.566E+13,00004e47-4100-0400-0000-000000076584,60,6,Augustus Aikhomu Way,189.68,2,1,25.59,31.2,30.98,11.5,15.96,7662,26.69,21.89,1
"LINESTRING (7.44627 9.06907,7.44626 9.06912,7.44618 9.0696,7.44617 9.06973)",27973,1.566E+13,00004e47-4100-0400-0000-000000076957,60,6,Ngozi Okonjo-Iweala Way,73.82,2,1,33.56,38.4,38.09,10.26,5.69,16749,7.92,6.92,1
"LINESTRING (7.44642 9.07003,7.44629 9.07015,7.44621 9.07023,7.44617 9.07029,7.44613 9.07035)",28188,1.566E+13,00004e47-4100-0400-0000-000000076e44,60,6,Ngozi Okonjo-Iweala Way,47.84,2,1,17.47,24.2,24.63,10,10.73,107,9.86,7.12,1
"LINESTRING (7.44694 9.06788,7.44677 9.0679,7.44646 9.06793)",28333,1.566E+13,00004e47-4100-0400-0000-00000007714f,60,5,Obafemi Awolowo Way,52.39,2,1,14.42,29.6,30.29,16.75,19.8,19565,13.08,6.37,1
"LINESTRING (7.44616 9.07146,7.44584 9.07148)",28433,1.566E+13,00004e47-4100-0400-0000-00000007735d,60,6,Augustus Aikhomu Way,34.88,2,1,27.56,30.2,30.56,8.31,3.98,9235,4.56,4.16,1
"LINESTRING (7.44617 9.06973,7.44615 9.06988,7.44613 9.07005)",28489,1.566E+13,00004e47-4100-0400-0000-000000077489,60,6,Ngozi Okonjo-Iweala Way,35.35,2,1,28.54,37.2,36.84,11.02,9.91,16374,4.46,3.42,1
"LINESTRING (7.44694 9.06788,7.44668 9.06805,7.44639 9.06834)",28667,1.566E+13,00004e47-4100-0400-0000-000000077835,60,6,Ngozi Okonjo-Iweala Way,78.42,2,1,34.4,36.8,37.5,9.7,3.75,10747,8.21,7.67,1
"LINESTRING (7.44641 9.06772,7.44648 9.06737)",28839,1.566E+13,00004e47-4100-0400-0000-000000077bba,60,6,Ngozi Okonjo-Iweala Way,39.38,2,1,22.26,29.5,29.08,10.34,6.84,11099,6.37,4.81,1
"LINESTRING (7.44694 9.06776,7.44774 9.06766,7.4492 9.0675,7.45033 9.06739,7.45047 9.06738)",28925,1.566E+13,00004e47-4100-0400-0000-000000077d9d,60,5,Obafemi Awolowo Way,390.24,2,1,40.98,48.1,46.53,11.53,26.16,31398,34.28,29.21,1
"LINESTRING (7.44648 9.06737,7.44651 9.06722,7.44655 9.06698,7.44658 9.06678)",28950,1.566E+13,00004e47-4100-0400-0000-000000077e42,60,6,Ngozi Okonjo-Iweala Way,65.59,2,1,20.36,29.8,29.19,11.75,14.69,11577,11.6,7.92,1
"LINESTRING (7.44613 9.07005,7.44613 9.07008,7.44613 9.07022,7.44613 9.07035)",28957,1.566E+13,00004e47-4100-0400-0000-000000077e79,60,6,Ngozi Okonjo-Iweala Way,33.48,2,1,30.41,36,35.84,10.72,5.39,16403,3.96,3.35,1
"LINESTRING (7.44618 9.06905,7.44624 9.06868,7.44626 9.06857)",29126,1.566E+13,00004e47-4100-0400-0000-0000000781f2,60,6,Ngozi Okonjo-Iweala Way,53.49,2,1,18.71,31.3,30.02,13.1,13.97,9378,10.29,6.15,1
"LINESTRING (7.44593 9.06785,7.44612 9.06775)",29364,1.566E+13,00004e47-4100-0400-0000-0000000786bd,60,6,Ngozi Okonjo-Iweala Way,23.62,2,1,30.15,36.1,36.19,10.84,3.33,1255,2.82,2.36,1
"LINESTRING (7.44618 9.06905,7.44627 9.06907)",29494,1.566E+13,00004e47-4100-0400-0000-00000007896c,60,6,Ngozi Okonjo-Iweala Way,9.9,2,1,7.71,13.8,18.54,17.47,5.88,25,4.62,2.58,1
"LINESTRING (7.44578 9.0714,7.44594 9.07139,7.44614 9.07137)",29593,1.566E+13,00004e47-4100-0400-0000-000000078bab,60,6,Augustus Aikhomu Way,40.71,2,1,16.56,23.6,23.8,11.05,8.34,4007,8.85,6.21,1
"LINESTRING (7.44624 9.07135,7.44626 9.07145)",29981,1.566E+13,00004e47-4100-0400-0000-0000000793dd,60,6,Ngozi Okonjo-Iweala Way,11.15,2,1,28.41,33,33.44,10.72,1.15,20530,1.41,1.22,1
"LINESTRING (7.44617 9.06973,7.44622 9.06984,7.44626 9.06991,7.44631 9.06995,7.44638 9.06998,7.44654 9.07002)",30936,1.566E+13,00004e47-4100-0400-0000-00000007a8c1,60,6,M.T.O. Akubo Street,55.89,2,1,24.47,27.1,27.4,9.88,5.66,453,8.22,7.42,1
"LINESTRING (7.44642 9.07003,7.44645 9.07003,7.44654 9.07002)",31162,1.566E+13,00004e47-4100-0400-0000-00000007ad43,60,6,M.T.O. Akubo Street,13.44,2,1,15.52,32.3,32.55,11.28,12.66,138,3.12,1.5,1
"LINESTRING (7.44658 9.06731,7.4465 9.06771)",31956,1.566E+13,00004e47-4100-0400-0000-00000007bd82,60,6,Ngozi Okonjo-Iweala Way,44.43,2,1,5.49,15.7,17.38,14.37,33.66,7796,29.16,10.19,1
"LINESTRING (7.4464 9.0678,7.44643 9.0678,7.44648 9.06779)",32158,1.566E+13,00004e47-4100-0400-0000-00000007c1e5,60,5,Obafemi Awolowo Way,9.65,2,1,22.39,30.2,31.55,13.79,2.24,13505,1.55,1.15,1
"LINESTRING (7.44654 9.07002,7.447 9.06998,7.44786 9.06991,7.44809 9.06989)",32239,1.566E+13,00004e47-4100-0400-0000-00000007c394,60,6,M.T.O. Akubo Street,170.9,2,1,29.51,35.8,35.07,10.47,20,466,20.85,17.19,1
"LINESTRING (7.44637 9.06794,7.4464 9.0678)",32517,1.566E+13,00004e47-4100-0400-0000-00000007c947,60,6,Ngozi Okonjo-Iweala Way,15.93,2,1,20.73,27.9,28,11.19,3.13,16711,2.77,2.06,1
"LINESTRING (7.44648 9.06779,7.44685 9.06777,7.44694 9.06776)",32538,1.566E+13,00004e47-4100-0400-0000-00000007c9a5,60,5,Obafemi Awolowo Way,50.78,2,1,27.92,33.1,33.83,12.31,5.15,12974,6.55,5.52,1
"LINESTRING (7.44637 9.06794,7.44595 9.06799)",32663,1.566E+13,00004e47-4100-0400-0000-00000007cc95,60,5,Obafemi Awolowo Way,46.89,2,1,30.25,35.5,37.1,14.03,4.68,13335,5.58,4.76,1
"LINESTRING (7.44612 9.06775,7.44614 9.06774,7.44629 9.06762,7.4464 9.06749,7.44648 9.06737)",32915,1.566E+13,00004e47-4100-0400-0000-00000007d1d2,60,6,Ngozi Okonjo-Iweala Way,58.22,2,1,24.84,31.2,31.91,11.19,10.25,1252,8.44,6.72,1
"LINESTRING (7.44595 9.06799,7.44532 9.06806,7.44446 9.06816,7.44389 9.06818,7.44346 9.06818,7.44283 9.06818,7.44235 9.06815,7.44183 9.0681,7.44109 9.068,7.4402 9.06782,7.43939 9.06762,7.43787 9.06724,7.43743 9.06712)",32970,1.566E+13,00004e47-4100-0400-0000-00000007d2ca,60,5,Obafemi Awolowo Way,949.78,2,1,49.79,55.6,54.47,13.16,30.28,12623,68.67,61.5,1
"LINESTRING (7.44646 9.06793,7.44637 9.06794)",33034,1.566E+13,00004e47-4100-0400-0000-00000007d418,60,5,Obafemi Awolowo Way,10.15,2,1,24.16,30.7,32.77,14.46,1.75,21350,1.51,1.19,1
"LINESTRING (7.44584 9.07148,7.44564 9.0715,7.44486 9.07156,7.44407 9.07163)",33558,1.566E+13,00004e47-4100-0400-0000-000000080c6e,60,6,Augustus Aikhomu Way,195.26,2,1,38.93,42.5,42.17,9.21,9.98,13264,18.06,16.54,1
"LINESTRING (7.44626 9.07145,7.44631 9.07172)",33560,1.566E+13,00004e47-4100-0400-0000-000000080c70,60,6,Ngozi Okonjo-Iweala Way,29.94,2,1,32.52,37.3,37.4,10.89,2.66,11250,3.31,2.89,1
"LINESTRING (7.44631 9.07172,7.44633 9.0718,7.44649 9.07228,7.44649 9.07231)",33561,1.566E+13,00004e47-4100-0400-0000-000000080c71,60,6,Ngozi Okonjo-Iweala Way,67.97,2,1,35.09,41,40.59,11.1,5.58,10554,6.97,5.97,1
"LINESTRING (7.44613 9.07035,7.44613 9.07053,7.44616 9.07085,7.44618 9.07106)",33562,1.566E+13,00004e47-4100-0400-0000-000000080c72,60,6,Ngozi Okonjo-Iweala Way,78.32,2,1,21.79,30.4,29.69,12.84,10.73,16327,12.94,9.27,1
"LINESTRING (7.44618 9.07106,7.44619 9.07113,7.44624 9.07135)",33563,1.566E+13,00004e47-4100-0400-0000-000000080c73,60,6,Ngozi Okonjo-Iweala Way,33.31,2,1,20.54,29.5,29.62,12.93,6.18,16456,5.84,4.06,1
"LINESTRING (7.44642 9.07234,7.44634 9.07214,7.44623 9.07176,7.44622 9.07174)",33565,1.566E+13,00004e47-4100-0400-0000-000000080c77,60,6,Ngozi Okonjo-Iweala Way,70.58,2,1,23.09,33.1,32.53,14.29,10.34,8438,11,7.68,1
"LINESTRING (7.4461 9.07107,7.44607 9.07086,7.44604 9.07053,7.44604 9.07036)",33568,1.566E+13,00004e47-4100-0400-0000-000000080c7e,60,6,Ngozi Okonjo-Iweala Way,79.01,2,1,27.08,32.2,32.25,10.56,8.84,8663,10.5,8.83,1
"LINESTRING (7.44604 9.07036,7.44604 9.07024,7.44605 9.07004)",33569,1.566E+13,00004e47-4100-0400-0000-000000080c7f,60,6,Ngozi Okonjo-Iweala Way,35.01,2,1,24.69,31,31.45,11.63,6.76,8735,5.11,4.07,1
"LINESTRING (7.44605 9.07004,7.44606 9.06986,7.44607 9.06973)",33570,1.566E+13,00004e47-4100-0400-0000-000000080c80,60,6,Ngozi Okonjo-Iweala Way,34.53,2,1,25.66,32.7,32.89,11.32,7.45,9333,4.84,3.8,1
"LINESTRING (7.44607 9.06973,7.44608 9.06971,7.44615 9.0692,7.44618 9.06905)",33571,1.566E+13,00004e47-4100-0400-0000-000000080c81,60,6,Ngozi Okonjo-Iweala Way,76.31,2,1,28.11,36.6,35.58,11.44,10.47,9385,9.77,7.51,1
"LINESTRING (7.44667 9.06677,7.44666 9.06686,7.4466 9.06722,7.44658 9.06731)",33580,1.566E+13,00004e47-4100-0400-0000-000000080c97,60,6,Ngozi Okonjo-Iweala Way,60.83,2,1,16.94,29.2,27.96,13.27,15.76,26312,12.93,7.5,1
"LINESTRING (7.43752 9.06698,7.43777 9.06704,7.43888 9.06732,7.43975 9.06754,7.44047 9.06771,7.44078 9.06777,7.44118 9.06785,7.44171 9.06794,7.44221 9.06799,7.44279 9.06803,7.44342 9.06804,7.44371 9.06804,7.44414 9.06802,7.44462 9.06798,7.4452 9.06793,7.44579 9.06787,7.44593 9.06785)",33607,1.566E+13,00004e47-4100-0400-0000-000000080cc5,60,5,Obafemi Awolowo Way,938.84,2,1,37.4,45,44.49,15.86,50.06,7685,90.37,75.11,1
"LINESTRING (7.45044 9.06753,7.45005 9.06759,7.44981 9.06762,7.44835 9.06775,7.44694 9.06788)",33812,1.566E+13,00004e47-4100-0400-0000-000000092651,60,5,Obafemi Awolowo Way,387.59,2,1,31.17,41,38.93,15.17,26.61,29568,44.76,34.03,1
"LINESTRING (7.4469 9.06931,7.44704 9.06937,7.44727 9.06946,7.44732 9.06948,7.44734 9.0695,7.44735 9.06954,7.44735 9.06966)",37960,1.566E+13,94d5334e-6674-4950-a493-3adddf88eb87,18,7,,70.54,2,1,0,0,0,,,0,0,0,0
"LINESTRING (7.44627 9.06907,7.44636 9.0691,7.44643 9.06912,7.4467 9.06922,7.44681 9.06926,7.4469 9.06931)",48994,1.566E+13,dd54cbf0-a7d6-4b72-ae8e-6644da681022,18,7,,74.4,2,1,7.22,7.94,18.86,22.47,31.8,5,37.1,33.73,1
